index,clues,difficulty,id,puzzle,solution
0,23,0.0,2,...81.....2........1.9..7...7..25.934.2............5...975.....563.....4......68.,934817256728653419615942738176425893452398167389176542897564321563281974241739685
1,26,1.4,4,........5.2...9....9..2...373..481.....36....58....4...1...358...42.......978...2,473816925628539741195427863732948156941365278586172439217693584864251397359784612
2,25,1.1,5,.4.1..............653.....1.8.9..74...24..91.......2.8...562....1..7..6...4..1..3,947153682128649357653287491381926745572438916496715238839562174215374869764891523
3,24,0.0,6,5...634.....7.....1...5.83.....18..7..69......43...9...............7..2.32.64.5..,598163472632784159174259836259418367816937245743526981465892713981375624327641598
4,26,0.0,7,..346..2..58.2...1.2.9...8...1....9.2..783.........3....9..6..........56.6..7.21.,913468527458327961627915483731542698296783145584691372179256834842139756365874219
5,23,0.0,9,.......2...75...9.6....4........7....25.961..9......83...6..85.....1.....4.32..7.,894163725137582496652974318481237569325896147976451283713649852268715934549328671
6,23,1.5,10,.75.....34......1....672.....9..16.....3....5.2.56...49.7.4......38.9............,275184963486935712391672548539421687764398125128567394917243856643859271852716439
7,26,1.5,11,..3.8.5...4.....9.7..15.4..98...1..5..2.7983...5.6....1....6.5.8.....7..........4,623984517541627398798153426987231645462579831315468972179846253854312769236795184
8,24,0.0,12,7.98.5...6..1..8.........9.8..4...1.....5..4.2....7..5..6...789.2.9..........3.6.,739845126654192873182376594865439217973251648241687935316524789427968351598713462
9,24,1.6,13,8..9........524.....5.1.67..2......45.17....3.......164....8..1....6...7......89.,813976425697524138245813679329681754561749283784235916472398561958162347136457892
10,24,1.8,14,............86..79.....54............53.9......67..58.5....2.4327.6.....8.94...5.,648179325325864179917325468182546937753298614496731582561982743274653891839417256
11,26,1.2,17,..61.4.9.35...9......25.........5..8......2...324...718...9.3...95...7...4.7.1...,726134895358679142419258637971325468684917253532486971867592314195843726243761589
12,25,0.0,18,.....48..79.58........9.....75....4.1.62.............751.3..2....48....16.24..5..,253614879791583426468792315875936142146257938329148657517369284934825761682471593
13,23,0.0,21,...8.....86....95.3.9..24.8.....132.6.......52...................19.3.4...2..4.3.,125849763864137952379562418958471326643298175217356894436715289581923647792684531
14,25,1.7,23,7.82...6...4..8..9..1.5............2..6..1.4.3.....67..4.1.........45.87..5.7...3,758294361234618759691753824489567132576321948312489675847132596163945287925876413
15,25,0.0,24,3...6..42.....5....61.3.....8...7..67...2.1.5.9....3......13...5....6.93..74.....,359761842472985631861234759185347926743629185296158374928513467514876293637492518
16,24,1.8,26,....27....13..4.....9..57...8....3..5..9..1......32...651....4...8....9.....4.6.5,865127439713694582429385761984751326532968174176432958651279843348516297297843615
17,25,0.0,27,6.....2...713.....39.4...7...3..289..1..8...4...5..1...6...854.........1..82.....,654897213871326459392451678743612895516983724289574136967138542425769381138245967
18,24,1.0,29,.9.....8.5......96......4..6..34....9......2.2...6..17.1....8...6..17..97...95...,196734582534281796827956431671342958953178624248569317419623875365817249782495163
