index,clues,difficulty,id,puzzle,solution
0,25,6.5,490,..9..78.3.........8...3.4.91.4......9....1..436..42...6.72...3......395.....7....,459127863736489215821536479184795326972361584365842791697254138248613957513978642
1,22,5.1,839,...2.5....2..7.1..3...1.....1..3...9.3.9...562.......8.7..4....4..6.......9....6.,741285693925376184368419527516837249834921756297564318672148935453692871189753462
2,22,5.4,1124,..1.6..34.....9..2..8.5..7.....4..5..........3.72.....7..9.......23...1.6.....4.3,971862534465739182238451976896143257124675398357298641713924865542386719689517423
3,23,5.7,1405,...8.7....2..41..9......7......6...1.4.13..8...3.......963...5..3..8..4..8...9...,314897526527641839968253714852764391649135287173928465496372158731586942285419673
4,25,5.2,1455,........77..5.3.8..298....5.1.......45..8.3.6...46..1.5......9.....3.4..8..7.1...,385612947741593682629874135916325874457189326238467519563248791172936458894751263
5,24,5.2,1665,2...8.9..85....26........1..489..3..5..36..9..9..7......74...2..........6...3.8..,274681935851793264963245718748912356512368497396574182187459623439826571625137849
6,27,5.7,1967,.....63...7......896..3.1.22....4.......12....8.567....3..28.1.52....8.3.1....7..,142896357375241698968735142296384571753912486481567239637428915524179863819653724
7,23,5.4,2129,.....1.5..1..2..7.9.58...1.3..9..5.4.9..8.....7......6.2.3..8.......4..16........,782631459416529378935847612361972584594186723278453196129365847853794261647218935
8,24,5.2,2466,..8..5.9.9..8....6...61...4......7.....18.45.7...5......9..48....173.....7......2,168345297945872136237619584583426719692187453714953628359264871421738965876591342
9,23,5.1,2788,.3.7......2..8.6..71...5....5.....24..89........1...6.5.....23.........5..9.728..,836791542925483671714265389157836924468927153293154768581649237672318495349572816
10,27,5.2,2862,..5...7.4.7..14.5...65...1....2..38.....981...48..7..659......1.84....6....4.....,815962734379814652426573918761245389253698147948137526592386471184759263637421895
11,23,5.3,2938,4...89..65....1.....7.......3....7.5....2...9..96..1...51..38......1..2.8..4.....,412789356568341297397562418236194785145827639789635142951273864674918523823456971
12,23,5.6,2996,........4..1.8.9...329.....7.981..6.8....47......3.5......2...6.9....8..5.7......,985276314671483952432951687729815463853694721164732598348529176296147835517368249
13,24,5.1,3061,.....7..9..8.4.1...7....3...59.8..3..4....8.7........5.8692......2....96.34......,423167589698345172175892364259784631341659827867213945786921453512438796934576218
14,25,5.7,4020,.3..4.1.25..8......2.61...9..8.......9......574.1.......6..9.2..7..6.9.....5..34.,639745182517892634824613579368954217291387465745126893156439728473268951982571346
15,25,5.7,4213,....9.4876..2.......9..3.2.........2.93....4..4.7..8195.7.8................371.6.,352196487618247953479853126785914632193628745246735819567482391831569274924371568
16,24,5.4,4215,4...1...26..3..8...1.69...3..28...7.........196..5....8...........26..9....4..3.7,437518962629374815518692743152843679784926531963157284845739126371265498296481357
17,27,5.2,4421,.9.4...2.8.3....6..543........1.4.76.6..3...21..7..8....2.41..9.....5..7......28.,691487523873529461254316798328154976567938142149762835732841659486295317915673284
18,24,5.7,4428,.5..9.6..1..........6....2.2..9.68..7.4.82.......7..1..7....28...84....53.....9..,857293641123864759496751328215946873734182596689375412571639284968427135342518967
19,26,5.3,4453,672......3.9.5...2............8..7.6.1...58.4.....9.534...67..81..3....5.2..8....,672938541349751682851246379594823716213675894768419253435167928187392465926584137
20,24,5.5,4487,39.........1...2...25.19....1...68....4..36.96...5..........9.4....4..731..7.....,396824751481537296725619348912476835574183629638952417257361984869245173143798562
21,23,5.6,4622,.....8.4...7......3.195.....7.5.1.8.2..3..7..5....6..4.5....2.......3.9...8....1.,625138947897642135341957862473521689286394751519786324154869273762413598938275416
22,24,5.2,4663,.6...5..41...7..5..4...3...78..3......2..64.3......5..6.1..9.........21......28.9,867925134139478652245613798784531926512896473396247581621789345958364217473152869
23,22,5.8,4967,..7....4..9....5.....3.5.26....6.4.114.....8....9.........5.2..31...8...5..4.....,257689143693124578481375926735862491149537682826941357968753214314298765572416839
